                       OLS Regression Results                      
Dep. Variable:   ,click_bool      ,  R-squared:         ,   0.039  
Model:           ,OLS             ,  Adj. R-squared:    ,   0.039  
Method:          ,Least Squares   ,  F-statistic:       ,   156.3  
Date:            ,Tue, 11 May 2021,  Prob (F-statistic):,  0.00    
Time:            ,23:22:27        ,  Log-Likelihood:    ,8.7973e+05
No. Observations:,4958347         ,  AIC:               ,-1.757e+06
Df Residuals:    ,4957043         ,  BIC:               ,-1.739e+06
Df Model:        ,  1303          ,                     ,          
Covariance Type: ,nonrobust       ,                     ,          
     ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
x266 ,-4.076e-10, 1.01e-09,   -0.405, 0.685,-2.38e-09, 1.56e-09
x267 , 6.466e-06, 8.13e-06,    0.795, 0.427,-9.48e-06, 2.24e-05
x268 , 2.043e-10, 4.32e-10,    0.473, 0.636,-6.43e-10, 1.05e-09
x269 , 1.715e-06, 1.66e-06,    1.034, 0.301,-1.54e-06, 4.97e-06
x270 , 5.438e-08, 6.41e-08,    0.848, 0.396,-7.13e-08,  1.8e-07
x271 , 4.408e-07, 4.78e-06,    0.092, 0.927,-8.93e-06, 9.82e-06
x272 ,-9.057e-06, 5.19e-06,   -1.744, 0.081,-1.92e-05, 1.12e-06
x273 ,-4.185e-06, 9.86e-06,   -0.424, 0.671,-2.35e-05, 1.51e-05
x274 , 8.472e-06, 7.58e-06,    1.118, 0.264,-6.38e-06, 2.33e-05
x275 , 1.921e-09, 2.13e-09,    0.904, 0.366,-2.25e-09, 6.09e-09
x276 , 1.458e-05, 7.85e-06,    1.857, 0.063,-8.08e-07,    3e-05
x277 ,-3.996e-06, 7.98e-06,   -0.501, 0.616,-1.96e-05, 1.16e-05
x278 , 2.399e-07, 6.28e-07,    0.382, 0.702,-9.91e-07, 1.47e-06
x279 ,-4.448e-07, 1.15e-07,   -3.860, 0.000,-6.71e-07,-2.19e-07
x280 ,  1.54e-09, 6.85e-10,    2.248, 0.025, 1.97e-10, 2.88e-09
x281 ,-9.588e-06, 2.81e-06,   -3.415, 0.001,-1.51e-05,-4.09e-06
x282 , -1.25e-10, 1.46e-10,   -0.857, 0.391,-4.11e-10, 1.61e-10
x283 ,   5.7e-07, 5.54e-07,    1.029, 0.303,-5.15e-07, 1.66e-06
